Hour,Temperature/K
6872.0,300.51
6873.0,300.51
6874.0,300.51
6875.0,300.51
6876.0,300.51
6877.0,300.51
6878.0,300.51
6879.0,300.51
6880.0,300.51
6881.0,300.51
6882.0,300.51
6883.0,300.51
6884.0,300.51
6885.0,300.51
6886.0,300.51
6887.0,300.51
6888.0,300.89
6889.0,300.89
6890.0,300.89
6891.0,300.89
6892.0,300.89
6893.0,300.89
6894.0,300.89
6895.0,300.89
6896.0,300.89
6897.0,300.89
6898.0,300.89
6899.0,300.89
6900.0,300.89
6901.0,300.89
6902.0,300.89
6903.0,300.89
6904.0,300.89
6905.0,300.89
6906.0,300.89
6907.0,300.89
6908.0,300.89
6909.0,300.89
6910.0,300.89
6911.0,300.89
6912.0,299.79999999999995
6913.0,299.79999999999995
6914.0,299.79999999999995
6915.0,299.79999999999995
6916.0,299.79999999999995
6917.0,299.79999999999995
6918.0,299.79999999999995
6919.0,299.79999999999995
6920.0,299.79999999999995
6921.0,299.79999999999995
6922.0,299.79999999999995
6923.0,299.79999999999995
6924.0,299.79999999999995
6925.0,299.79999999999995
6926.0,299.79999999999995
6927.0,299.79999999999995
6928.0,299.79999999999995
6929.0,299.79999999999995
6930.0,299.79999999999995
6931.0,299.79999999999995
6932.0,299.79999999999995
6933.0,299.79999999999995
6934.0,299.79999999999995
6935.0,299.79999999999995
6936.0,300.69
6937.0,300.69
6938.0,300.69
6939.0,300.69
6940.0,300.69
6941.0,300.69
6942.0,300.69
6943.0,300.69
6944.0,300.69
6945.0,300.69
6946.0,300.69
6947.0,300.69
6948.0,300.69
6949.0,300.69
6950.0,300.69
6951.0,300.69
6952.0,300.69
6953.0,300.69
6954.0,300.69
6955.0,300.69
6956.0,300.69
6957.0,300.69
6958.0,300.69
6959.0,300.69
6960.0,300.23999999999995
6961.0,300.23999999999995
6962.0,300.23999999999995
6963.0,300.23999999999995
6964.0,300.23999999999995
6965.0,300.23999999999995
6966.0,300.23999999999995
6967.0,300.23999999999995
6968.0,300.23999999999995
6969.0,300.23999999999995
6970.0,300.23999999999995
6971.0,300.23999999999995
6972.0,300.23999999999995
6973.0,300.23999999999995
6974.0,300.23999999999995
6975.0,300.23999999999995
6976.0,300.23999999999995
6977.0,300.23999999999995
6978.0,300.23999999999995
6979.0,300.23999999999995
6980.0,300.23999999999995
6981.0,300.23999999999995
6982.0,300.23999999999995
6983.0,300.23999999999995
6984.0,301.09
6985.0,301.09
6986.0,301.09
6987.0,301.09
6988.0,301.09
6989.0,301.09
6990.0,301.09
6991.0,301.09
6992.0,301.09
6993.0,301.09
6994.0,301.09
6995.0,301.09
6996.0,301.09
6997.0,301.09
6998.0,301.09
6999.0,301.09
7000.0,301.09
7001.0,301.09
7002.0,301.09
7003.0,301.09
7004.0,301.09
7005.0,301.09
7006.0,301.09
7007.0,301.09
7008.0,300.45
7009.0,300.45
7010.0,300.45
7011.0,300.45
7012.0,300.45
7013.0,300.45
7014.0,300.45
7015.0,300.45
7016.0,300.45
7017.0,300.45
7018.0,300.45
7019.0,300.45
7020.0,300.45
7021.0,300.45
7022.0,300.45
7023.0,300.45
7024.0,300.45
7025.0,300.45
7026.0,300.45
7027.0,300.45
7028.0,300.45
7029.0,300.45
7030.0,300.45
7031.0,300.45
7032.0,300.44
7033.0,300.44
7034.0,300.44
7035.0,300.44
7036.0,300.44
7037.0,300.44
7038.0,300.44
7039.0,300.44
7040.0,300.44
7041.0,300.44
7042.0,300.44
7043.0,300.44
7044.0,300.44
7045.0,300.44
7046.0,300.44
7047.0,300.44
7048.0,300.44
7049.0,300.44
7050.0,300.44
7051.0,300.44
7052.0,300.44
7053.0,300.44
7054.0,300.44
7055.0,300.44
7056.0,300.2
7057.0,300.2
7058.0,300.2
7059.0,300.2
7060.0,300.2
7061.0,300.2
7062.0,300.2
7063.0,300.2
7064.0,300.2
7065.0,300.2
7066.0,300.2
7067.0,300.2
7068.0,300.2
7069.0,300.2
7070.0,300.2
7071.0,300.2
7072.0,300.2
7073.0,300.2
7074.0,300.2
7075.0,300.2
7076.0,300.2
7077.0,300.2
7078.0,300.2
7079.0,300.2
7080.0,300.23999999999995
7081.0,300.23999999999995
7082.0,300.23999999999995
7083.0,300.23999999999995
7084.0,300.23999999999995
7085.0,300.23999999999995
7086.0,300.23999999999995
7087.0,300.23999999999995
7088.0,300.23999999999995
7089.0,300.23999999999995
7090.0,300.23999999999995
7091.0,300.23999999999995
7092.0,300.23999999999995
7093.0,300.23999999999995
7094.0,300.23999999999995
7095.0,300.23999999999995
7096.0,300.23999999999995
7097.0,300.23999999999995
7098.0,300.23999999999995
7099.0,300.23999999999995
7100.0,300.23999999999995
7101.0,300.23999999999995
7102.0,300.23999999999995
7103.0,300.23999999999995
7104.0,300.66999999999996
7105.0,300.66999999999996
7106.0,300.66999999999996
7107.0,300.66999999999996
7108.0,300.66999999999996
7109.0,300.66999999999996
7110.0,300.66999999999996
7111.0,300.66999999999996
7112.0,300.66999999999996
7113.0,300.66999999999996
7114.0,300.66999999999996
7115.0,300.66999999999996
7116.0,300.66999999999996
7117.0,300.66999999999996
7118.0,300.66999999999996
7119.0,300.66999999999996
7120.0,300.66999999999996
7121.0,300.66999999999996
7122.0,300.66999999999996
7123.0,300.66999999999996
7124.0,300.66999999999996
7125.0,300.66999999999996
